
Start val:
------------办------------- => 办                   , gt: 办                   
------------------计计------ => 计                   , gt: 计                   
----凤凤-------------------- => 凤                   , gt: 凤                   
---------------------巧---- => 巧                   , gt: 巧                   
-------------------乌------ => 乌                   , gt: 乌                   
--------------d----------- => d                   , gt: d                   
-----2-------------------- => 2                   , gt: 2                   
---------------d---------- => d                   , gt: d                   
------------丙------------- => 丙                   , gt: 丙                   
--------------------令令---- => 令                   , gt: 令                   
----------l--------------- => l                   , gt: l                   
--------------j----------- => j                   , gt: j                   
------------------代------- => 代                   , gt: 代                   
-------丹丹----------------- => 丹                   , gt: 丹                   
-------------------史------ => 史                   , gt: 史                   
-----------------方-------- => 方                   , gt: 方                   
-------------0------------ => 0                   , gt: 0                   
---1---------------------- => 1                   , gt: 1                   
------------工------------- => 工                   , gt: 工                   
------1------------------- => 1                   , gt: 1                   
-------------------申------ => 申                   , gt: 申                   
--------门----------------- => 门                   , gt: 门                   
-----------------v-------- => v                   , gt: v                   
------------------入------- => 入                   , gt: 入                   
-------------斗------------ => 斗                   , gt: 斗                   
-------------------宁宁----- => 宁                   , gt: 宁                   
--------------卜----------- => 卜                   , gt: 卜                   
-------uu----------------- => u                   , gt: u                   
--------------牙----------- => 牙                   , gt: 牙                   
------------扎------------- => 扎                   , gt: 扎                   
---------------方---------- => 方                   , gt: 方                   
----仅--------------------- => 仅                   , gt: 仅                   
--------uu---------------- => u                   , gt: u                   
----------q--------------- => q                   , gt: q                   
----------v--------------- => v                   , gt: v                   
---r---------------------- => r                   , gt: r                   
-------元------------------ => 元                   , gt: 元                   
--------2----------------- => 2                   , gt: 2                   
--------------------市市---- => 市                   , gt: 市                   
--------------分----------- => 分                   , gt: 分                   
---e---------------------- => e                   , gt: e                   
-------xx----------------- => x                   , gt: x                   
----------三三-------------- => 三                   , gt: 三                   
-----------------世-------- => 世                   , gt: 世                   
------------士------------- => 士                   , gt: 士                   
-----毛-------------------- => 毛                   , gt: 毛                   
--------------------支----- => 支                   , gt: 支                   
------------巴------------- => 巴                   , gt: 巴                   
-----------汉-------------- => 汉                   , gt: 汉                   
----------瓦--------------- => 瓦                   , gt: 瓦                   
----------1--------------- => 1                   , gt: 1                   
----------2--------------- => 2                   , gt: 2                   
------------8------------- => 8                   , gt: 8                   
---------------汇汇--------- => 汇                   , gt: 汇                   
----44-------------------- => 4                   , gt: 4                   
----n--------------------- => n                   , gt: n                   
---------------------主---- => 主                   , gt: 主                   
----------------兰--------- => 兰                   , gt: 兰                   
---------------------井---- => 井                   , gt: 井                   
----q--------------------- => q                   , gt: q                   
---------办---------------- => 办                   , gt: 办                   
----w--------------------- => w                   , gt: w                   
------------口口------------ => 口                   , gt: 口                   
--------------------公----- => 公                   , gt: 公                   
--------讨----------------- => 讨                   , gt: 讨                   
--------十----------------- => 十                   , gt: 十                   
------------------也------- => 也                   , gt: 也                   
--------------------节节---- => 节                   , gt: 节                   
---------斤---------------- => 斤                   , gt: 斤                   
--------------乞----------- => 乞                   , gt: 乞                   
------------x------------- => x                   , gt: x                   
---------l---------------- => l                   , gt: l                   
---r---------------------- => r                   , gt: r                   
----------8--------------- => 8                   , gt: 8                   
--------允----------------- => 允                   , gt: 允                   
--------------------风----- => 风                   , gt: 风                   
-----少-------------------- => 少                   , gt: 少                   
---------x---------------- => x                   , gt: x                   
----f--------------------- => f                   , gt: f                   
--------------们----------- => 们                   , gt: 们                   
--------t----------------- => t                   , gt: t                   
----------v--------------- => v                   , gt: v                   
-----------------仔-------- => 仔                   , gt: 仔                   
---------------------叉---- => 叉                   , gt: 叉                   
------------亿------------- => 亿                   , gt: 亿                   
---------------------力---- => 力                   , gt: 力                   
--------------s----------- => s                   , gt: s                   
-----中-------------------- => 中                   , gt: 中                   
-------------方------------ => 方                   , gt: 方                   
------------三------------- => 三                   , gt: 三                   
---------------88--------- => 8                   , gt: 8                   
--------------------月----- => 月                   , gt: 月                   
--------------------a----- => a                   , gt: a                   
---------------介介--------- => 介                   , gt: 介                   
----------------------丰--- => 丰                   , gt: 丰                   
-----------凶-------------- => 凶                   , gt: 凶                   
-----小-------------------- => 小                   , gt: 小                   
--------冈----------------- => 冈                   , gt: 冈                   
---44--------------------- => 4                   , gt: 4                   
-----------------厅-------- => 厅                   , gt: 厅                   
----------目目-------------- => 目                   , gt: 目                   
--------------hh---------- => h                   , gt: h                   
----汉汉-------------------- => 汉                   , gt: 汉                   
------------------r------- => r                   , gt: r                   
-------------3------------ => 3                   , gt: 3                   
----------f--------------- => f                   , gt: f                   
------------g------------- => g                   , gt: g                   
--------b----------------- => b                   , gt: b                   
-------专专----------------- => 专                   , gt: 专                   
----冬--------------------- => 冬                   , gt: 冬                   
----------什--------------- => 什                   , gt: 什                   
----已--------------------- => 已                   , gt: 已                   
----v--------------------- => v                   , gt: v                   
---幻幻--------------------- => 幻                   , gt: 幻                   
-------tt----------------- => t                   , gt: t                   
----l--------------------- => l                   , gt: l                   
-------------------a------ => a                   , gt: a                   
--------央央---------------- => 央                   , gt: 央                   
-----------------去-------- => 去                   , gt: 去                   
--------------------u----- => u                   , gt: u                   
-----------j-------------- => j                   , gt: j                   
--------仇----------------- => 仇                   , gt: 仇                   
--------------------bb---- => b                   , gt: b                   
---------可---------------- => 可                   , gt: 可                   
-----------------门-------- => 门                   , gt: 门                   
----------------r--------- => r                   , gt: r                   
------------------牙------- => 牙                   , gt: 牙                   
----i--------------------- => i                   , gt: i                   
-------------广------------ => 广                   , gt: 广                   
----------------付--------- => 付                   , gt: 付                   
---------tt--------------- => t                   , gt: t                   
------c------------------- => c                   , gt: c                   
-----------f-------------- => f                   , gt: f                   
------------------夕夕------ => 夕                   , gt: 夕                   
----------------汁汁-------- => 汁                   , gt: 汁                   
----------cc-------------- => c                   , gt: c                   
-----------rr------------- => r                   , gt: r                   
---r---------------------- => r                   , gt: r                   
-----------------犬-------- => 犬                   , gt: 犬                   
-----------------介-------- => 介                   , gt: 介                   
------------l------------- => l                   , gt: l                   
----------------------石--- => 石                   , gt: 石                   
----日--------------------- => 日                   , gt: 日                   
---------------------古---- => 古                   , gt: 古                   
------------------区区------ => 区                   , gt: 区                   
------jj------------------ => j                   , gt: j                   
---------------之---------- => 之                   , gt: 之                   
-----------------v-------- => v                   , gt: v                   
-------------------句------ => 句                   , gt: 句                   
------------------5------- => 5                   , gt: 5                   
----------c--------------- => c                   , gt: c                   
-------厉厉----------------- => 厉                   , gt: 厉                   
----------匆--------------- => 匆                   , gt: 匆                   
------------------犯------- => 犯                   , gt: 犯                   
-------------申------------ => 申                   , gt: 申                   
------------p------------- => p                   , gt: p                   
-------9------------------ => 9                   , gt: 9                   
--------元----------------- => 元                   , gt: 元                   
---------------x---------- => x                   , gt: x                   
------zz------------------ => z                   , gt: z                   
-----马-------------------- => 马                   , gt: 马                   
-------九九----------------- => 九                   , gt: 九                   
----------中--------------- => 中                   , gt: 中                   
-----------------山-------- => 山                   , gt: 山                   
-------t------------------ => t                   , gt: t                   
--------6----------------- => 6                   , gt: 6                   
-------------------乞乞----- => 乞                   , gt: 乞                   
-----------------节-------- => 节                   , gt: 节                   
----------i--------------- => i                   , gt: i                   
----------------------比--- => 比                   , gt: 比                   
-------2------------------ => 2                   , gt: 2                   
-----------个-------------- => 个                   , gt: 个                   
-------------9------------ => 9                   , gt: 9                   
---------i---------------- => i                   , gt: i                   
----习习-------------------- => 习                   , gt: 习                   
---------e---------------- => e                   , gt: e                   
-----------牙-------------- => 牙                   , gt: 牙                   
-------------f------------ => f                   , gt: f                   
-----ii------------------- => i                   , gt: i                   
--------d----------------- => d                   , gt: d                   
-------m------------------ => m                   , gt: m                   
--------------------贝----- => 贝                   , gt: 贝                   
----------77-------------- => 7                   , gt: 7                   
---------------叶叶--------- => 叶                   , gt: 叶                   
-----------v-------------- => v                   , gt: v                   
-----------------z-------- => z                   , gt: z                   
--------rr---------------- => r                   , gt: r                   
------------------匆------- => 匆                   , gt: 匆                   
-----------------c-------- => c                   , gt: c                   
--------------允----------- => 允                   , gt: 允                   
------------仓------------- => 仓                   , gt: 仓                   
---------------车---------- => 车                   , gt: 车                   
----白--------------------- => 白                   , gt: 白                   
------------丰------------- => 丰                   , gt: 丰                   
-----尺-------------------- => 尺                   , gt: 尺                   
-----------------l-------- => l                   , gt: l                   
--------------止止---------- => 止                   , gt: 止                   
--------------------饥----- => 饥                   , gt: 饥                   
-----------------以-------- => 以                   , gt: 以                   
---e---------------------- => e                   , gt: e                   
-------------------么么----- => 么                   , gt: 么                   
--------------------仇----- => 仇                   , gt: 仇                   
-------hh----------------- => h                   , gt: h                   
----------------------与--- => 与                   , gt: 写                   
--------认让---------------- => 认让                  , gt: 让                   
--------乏----------------- => 乏                   , gt: 乏                   
----mm-------------------- => m                   , gt: m                   
--------------------扔----- => 扔                   , gt: 扔                   
---------------v---------- => v                   , gt: v                   
------------功------------- => 功                   , gt: 功                   
-----------------cc------- => c                   , gt: c                   
-------------------田------ => 田                   , gt: 田                   
-------9------------------ => 9                   , gt: 9                   
------------------匹------- => 匹                   , gt: 匹                   
-------冈------------------ => 冈                   , gt: 冈                   
-------------------力------ => 力                   , gt: 力                   
------------比------------- => 比                   , gt: 比                   
--------------------f----- => f                   , gt: f                   
-------------------f------ => f                   , gt: f                   
---------------3---------- => 3                   , gt: 3                   
----内--------------------- => 内                   , gt: 内                   
-------------禾------------ => 禾                   , gt: 禾                   
---------------------手---- => 手                   , gt: 手                   
------------22------------ => 2                   , gt: 2                   
----------g--------------- => g                   , gt: g                   
--------井----------------- => 井                   , gt: 井                   
-------------------uu----- => u                   , gt: u                   
------------9------------- => 9                   , gt: 9                   
----仔--------------------- => 仔                   , gt: 仔                   
-------j------------------ => j                   , gt: j                   
------术------------------- => 术                   , gt: 术                   
--------------------以----- => 以                   , gt: 以                   
----s--------------------- => s                   , gt: s                   
------------什------------- => 什                   , gt: 什                   
--------玉玉---------------- => 玉                   , gt: 玉                   
----------------b--------- => b                   , gt: b                   
-------------r------------ => r                   , gt: r                   
-----b-------------------- => b                   , gt: b                   
------------上------------- => 上                   , gt: 上                   
-------3------------------ => 3                   , gt: 3                   
------------------扒------- => 扒                   , gt: 扒                   
--------------nn---------- => n                   , gt: n                   
--------------h----------- => h                   , gt: h                   
----h--------------------- => h                   , gt: h                   
--------打----------------- => 打                   , gt: 打                   
-------------1------------ => 1                   , gt: 1                   
-------厉------------------ => 厉                   , gt: 厉                   
-------------p------------ => p                   , gt: p                   
----------厂--------------- => 厂                   , gt: 厂                   
-------------------ww----- => w                   , gt: w                   
----山山-------------------- => 山                   , gt: 山                   
---------------l---------- => l                   , gt: l                   
-----------个-------------- => 个                   , gt: 个                   
---------------------云---- => 云                   , gt: 云                   
--------------仁仁---------- => 仁                   , gt: 仁                   
--------------------世----- => 世                   , gt: 世                   
----------------j--------- => j                   , gt: j                   
-----刀-------------------- => 刀                   , gt: 刀                   
--------------------n----- => n                   , gt: n                   
----------o--------------- => o                   , gt: o                   
---------------22--------- => 2                   , gt: 2                   
----xx-------------------- => x                   , gt: x                   
-------------44----------- => 4                   , gt: 4                   
-------------00----------- => 0                   , gt: 0                   
----66-------------------- => 6                   , gt: 6                   
----------------干--------- => 干                   , gt: 干                   
---------------pp--------- => p                   , gt: p                   
-----------北-------------- => 北                   , gt: 北                   
---jj--------------------- => j                   , gt: j                   
------------q------------- => q                   , gt: q                   
---------夫---------------- => 夫                   , gt: 夫                   
---------------bb--------- => b                   , gt: b                   
--------------------nn---- => n                   , gt: n                   
--------------今----------- => 今                   , gt: 今                   
------------予------------- => 予                   , gt: 予                   
--------------8----------- => 8                   , gt: 8                   
------------v------------- => v                   , gt: v                   
-------3------------------ => 3                   , gt: 3                   
--------------匀----------- => 匀                   , gt: 匀                   
----------kk-------------- => k                   , gt: k                   
-----刀-------------------- => 刀                   , gt: 刀                   
