,gts,preds
217,p,p
218,t,t
219,叉,叉
220,左,左
221,允,允
222,z,z
223,b,b
224,0,0
225,专,专
226,x,x
227,z,z
228,a,a
229,x,x
230,q,q
231,x,x
232,i,i
233,仅,仅
234,9,9
235,仓,仓
236,o,o
237,它,它
238,平,平
239,c,c
240,a,a
241,斗,斗
242,只,只
243,目,目
244,由,由
245,y,y
246,之,之
247,大,大
248,二,二
249,之,之
250,业,业
251,目,目
252,文,文
253,月,月
254,u,u
255,由,由
256,e,e
257,7,7
258,4,4
259,丑,丑
260,开,开
261,业,业
262,5,5
263,m,m
264,丁,丁
265,z,z
266,二,二
267,幻,幻
268,3,3
269,a,a
270,r,r
271,斤,斤
272,门,门
273,丙,丙
274,7,7
275,贝,贝
276,与,与
277,s,s
278,示,示
279,计,计
280,凤,凤
281,巧,巧
282,乌,乌
283,d,d
284,2,2
285,d,d
286,丙,丙
287,令,令
288,l,l
289,j,j
290,代,代
291,丹,丹
292,史,史
293,方,方
294,0,0
295,1,1
296,工,工
297,1,1
298,申,申
299,门,门
300,v,v
301,入,入
302,斗,斗
303,宁,宁
304,卜,卜
305,u,u
306,牙,牙
307,扎,扎
308,方,方
309,仅,仅
310,u,u
311,q,q
312,v,v
313,r,r
314,元,元
315,2,2
316,市,市
317,分,分
318,e,e
319,x,x
320,三,三
321,世,世
322,士,士
323,毛,毛
324,支,支
325,巴,巴
326,汉,汉
327,瓦,瓦
328,1,1
329,2,2
330,8,8
331,汇,汇
332,4,4
333,n,n
334,主,主
335,兰,兰
336,井,井
337,q,q
338,办,办
339,w,w
340,口,口
341,公,公
342,讨,讨
343,十,十
344,也,也
345,节,节
346,斤,斤
347,乞,乞
348,x,x
349,l,l
350,r,r
351,8,8
352,允,允
353,风,风
354,少,少
355,x,x
356,f,f
357,们,们
358,t,t
359,v,v
360,仔,仔
361,叉,叉
362,亿,亿
363,力,力
364,s,s
365,中,中
366,方,方
367,三,三
368,8,8
369,月,月
370,a,a
371,介,介
372,丰,丰
373,凶,凶
374,小,小
375,冈,冈
376,4,4
377,厅,厅
378,目,目
379,h,h
380,汉,汉
381,r,r
382,3,3
383,f,f
384,g,g
385,b,b
386,专,专
387,冬,冬
388,什,什
389,已,已
390,v,v
391,幻,幻
392,t,t
393,l,l
394,a,a
395,央,央
396,去,去
397,u,u
398,j,j
399,仇,仇
400,b,b
401,可,可
402,门,门
403,r,r
404,牙,牙
405,i,i
406,广,广
407,付,付
408,t,t
409,c,c
410,f,f
411,夕,夕
412,汁,汁
413,c,c
414,r,r
415,r,r
416,犬,犬
417,介,介
418,l,l
419,石,石
420,日,日
421,古,古
422,区,区
423,j,j
424,之,之
425,v,v
426,句,句
427,5,5
428,c,c
429,厉,厉
430,匆,匆
431,犯,犯
432,申,申
433,p,p
434,9,9
435,元,元
436,x,x
437,z,z
438,马,马
439,九,九
440,中,中
441,山,山
442,t,t
443,6,6
444,乞,乞
445,节,节
446,i,i
447,比,比
448,2,2
449,个,个
450,9,9
451,i,i
452,习,习
453,e,e
454,牙,牙
455,f,f
456,i,i
457,d,d
458,m,m
459,贝,贝
460,7,7
461,叶,叶
462,v,v
463,z,z
464,r,r
465,匆,匆
466,c,c
467,允,允
468,仓,仓
469,车,车
470,白,白
471,丰,丰
472,尺,尺
473,l,l
474,止,止
475,饥,饥
476,以,以
477,e,e
478,么,么
479,仇,仇
480,h,h
481,写,与
482,让,认让
483,乏,乏
484,m,m
485,扔,扔
486,v,v
487,功,功
488,c,c
489,田,田
490,9,9
491,匹,匹
492,冈,冈
493,力,力
494,比,比
495,f,f
496,f,f
497,3,3
498,内,内
499,禾,禾
500,手,手
501,2,2
502,g,g
503,井,井
504,u,u
505,9,9
506,仔,仔
507,j,j
508,术,术
509,以,以
510,s,s
511,什,什
512,玉,玉
513,b,b
514,r,r
515,b,b
516,上,上
517,3,3
518,扒,扒
519,n,n
520,h,h
521,h,h
522,打,打
523,1,1
524,厉,厉
525,p,p
526,厂,厂
527,w,w
528,山,山
529,l,l
530,个,个
531,云,云
532,仁,仁
533,世,世
534,j,j
535,刀,刀
536,n,n
537,o,o
538,2,2
539,x,x
540,4,4
541,0,0
542,6,6
543,干,干
544,p,p
545,北,北
546,j,j
547,q,q
548,夫,夫
549,b,b
550,n,n
551,今,今
552,予,予
553,8,8
554,v,v
555,3,3
556,匀,匀
557,k,k
558,刀,刀
559,印,印
560,示,示
561,匹,匹
562,9,9
563,东,东
564,t,t
565,q,q
566,y,y
567,i,i
568,失,失
569,文,文
570,化,化
571,j,j
572,l,l
573,l,l
574,1,1
575,y,y
576,瓜,瓜
577,5,5
578,天,天
579,8,8
580,日,日
581,0,0
582,王,王
583,乡,乡
584,u,u
585,元,元
586,龙,龙
587,a,a
588,f,f
589,天,天
590,m,m
591,未,未
592,w,w
593,匀,匀
594,勿,勿
595,厂,厂
596,凶,凶
597,3,3
598,o,o
599,3,3
600,外,外
601,g,g
602,分,分
603,人,人
604,y,y
605,j,j
606,2,2
607,g,g
608,5,5
609,宁,宁
610,玉,玉
611,亡,亡
612,卫,卫
613,3,3
614,斥,斥
615,冈,冈
616,礼,礼
617,匆,匆
618,区,区
619,巴,巴
620,牛,牛
621,乏,乏
622,t,t
623,j,j
624,川,川
625,禾,禾
626,父,父
627,反,反
628,叉,叉
629,f,f
630,f,f
631,i,i
632,h,h
633,历,历
634,北,北
635,它,它
636,开,开
637,叼,叼
638,甩,甩
639,8,8
640,夫,夫
641,r,r
642,5,5
643,4,4
644,仗,仗
645,处,处
646,们,们
647,仅,仅
648,汁,汁
649,丛,丛
650,z,z
651,丹,丹
652,久,久
653,引,引
654,2,2
655,兰,兰
656,5,5
657,劝,劝
658,v,v
659,于,于
660,亏,亏
661,n,n
662,r,r
663,0,0
664,9,9
665,z,z
666,丸,丸
667,灭,灭
668,凤,凤
669,目,目
670,s,s
671,水,水
672,长,长
673,a,a
674,j,j
675,4,4
676,c,c
677,匀,匀
678,h,h
679,w,w
680,m,m
681,归,归
682,让,让
683,7,7
684,元,元
685,汁,汁
686,乡,乡
687,x,x
688,它,它
689,g,g
690,又,又
691,万,万
692,用,用
693,x,x
694,二,二
695,忆,忆
696,t,t
697,干,干
698,f,f
699,f,f
700,今,今
701,3,3
702,几,几
703,k,k
704,p,p
705,4,4
706,u,u
707,q,q
708,y,y
709,f,f
710,o,o
711,c,c
712,5,5
713,瓜,瓜
714,叼,叼
715,尺,尺
716,仆,仆
717,犯,北
718,3,3
719,b,b
720,训,训
721,专,专
722,w,w
723,二,二
724,f,f
725,v,v
726,6,6
727,互,互
728,电,电
729,以,以
730,丛,丛
731,i,i
732,欠,欠
733,分,分
734,万,万
735,专,专
736,正,正
737,x,x
738,册,册
739,o,o
740,六,六
741,c,c
742,9,9
743,乙,乙
744,x,x
745,d,d
746,史,史
747,东,东
748,1,1
749,w,w
750,匹,匹
751,卜,卜
752,6,6
753,a,a
754,去,去
755,g,g
756,j,j
757,仔,仔
758,f,f
759,礼,礼
760,丙,丙
761,3,3
762,广,广
763,口,口
764,5,5
765,j,j
766,乌,乌
767,见,见
768,冬,冬
769,i,i
770,v,v
771,玉,王
772,六,六
773,切,切
774,口,口
775,礼,礼
776,支,支
777,斤,斤
778,f,f
779,乃,乃
780,之,之
781,广,广
782,卡,卡
783,功,功
784,飞,飞
785,s,s
786,x,x
787,之,之
788,训,训
789,册,册
790,3,3
791,4,4
792,夕,夕
793,r,r
794,立,立
795,x,x
796,广,广
797,8,8
798,习,习
799,h,h
800,午,午
801,q,q
802,h,h
803,1,1
804,i,i
805,i,i
806,玉,玉
807,h,h
808,6,6
809,头,头
810,汉,汉
811,写,写
812,仅,仅
813,c,c
814,j,j
815,火,火
816,q,q
817,g,g
818,y,y
819,穴,穴
820,少,少
821,m,m
822,兰,兰
823,业,业
824,w,w
825,仅,仅
826,甲,甲
827,p,p
828,2,2
829,扔,扔
830,g,g
831,王,王
832,区,区
833,m,m
834,0,0
835,t,t
836,b,b
837,厅,厅
838,r,r
839,r,r
840,付,付
841,帅,帅
842,v,v
843,2,2
844,c,c
845,土,土
846,h,h
847,氏,氏
848,匹,匹
849,6,6
850,飞,飞
851,什,什
852,乐,乐
853,三,三
854,x,x
855,5,5
856,8,8
857,l,l
858,六,六
859,丑,丑
860,7,7
861,u,u
862,古,古
863,刊,刊
864,p,p
865,j,j
866,a,a
867,x,x
868,3,3
869,失,失
870,4,4
871,汉,汉
872,b,b
873,令,令
874,k,k
875,玉,玉
876,叉,叉
877,弓,弓
878,冬,冬
879,务,务
880,丹,丹
881,乃,乃
882,井,井
883,8,8
884,分,分
885,6,6
886,2,2
887,仁,仁
888,p,p
889,c,c
890,e,e
891,b,b
892,8,8
893,丙,丙
894,j,j
895,4,4
896,半,半
897,汉,汉
898,互,互
899,3,3
900,r,r
901,1,1
902,方,方
903,甘,甘
904,刀,刀
905,z,z
906,号,号
907,与,与
908,d,d
909,开,开
910,双,双
911,s,s
912,c,c
913,止,止
914,仗,仗
915,t,t
916,又,又
917,e,e
918,m,m
919,f,f
920,川,川
921,h,h
922,4,4
923,开,开
924,手,手
925,尸,尸
926,r,r
927,9,9
928,e,e
929,爪,爪
930,牙,牙
931,处,处
932,r,r
933,j,j
934,k,k
935,q,q
936,业,业
937,i,i
938,比,比
939,b,b
940,s,s
941,q,q
942,付,付
943,久,久
944,手,手
945,欠,欠
946,y,y
947,4,4
948,5,5
949,业,业
950,另,另
951,厂,厂
952,叨,叨
953,e,e
954,比,比
955,一,一
956,y,y
957,y,y
958,q,q
959,十,十
960,历,历
961,十,十
962,z,z
963,z,z
964,弓,弓
965,印,印
966,处,处
967,g,g
968,丛,丛
969,s,s
970,9,9
971,k,k
972,汁,汁
973,文,文
974,8,8
975,8,8
976,气,气
977,归,归
978,8,8
979,申,申
980,艺,艺
981,甩,甩
982,仍,仍
983,r,r
984,示,示
985,写,写
986,仓,仓
987,鸟,鸟
988,节,节
989,9,9
990,2,2
991,f,f
992,石,石
993,口,口
994,云,云
995,o,o
996,8,8
997,力,力
998,右,右
999,石,石
1000,忆,忆
1001,氏,氏
1002,v,v
1003,反,反
1004,互,互
1005,未,未
1006,3,3
1007,r,r
1008,a,a
1009,x,x
1010,义,义
1011,x,x
1012,4,4
1013,8,8
1014,贝,贝
1015,v,v
1016,午,午
1017,与,与
1018,w,w
1019,g,g
1020,r,r
1021,a,a
1022,6,6
1023,他,他
1024,k,k
1025,么,么
1026,8,8
1027,x,x
1028,m,m
1029,互,互
1030,央,央
1031,亏,亏
1032,刀,刀
1033,z,z
1034,刀,刀
1035,x,x
1036,z,z
1037,入,入
1038,丸,丸
1039,父,父
1040,k,k
1041,6,6
1042,i,i
1043,k,k
1044,打,打
1045,友,友
1046,b,b
1047,门,门
1048,予,予
1049,父,文
1050,片,片
1051,玉,玉
1052,p,p
1053,币,币
1054,g,g
1055,饥,饥
1056,叉,叉
1057,b,b
1058,切,切
1059,0,0
1060,t,t
1061,句,句
1062,u,u
1063,u,u
1064,个,个
1065,户,户
1066,3,3
1067,u,u
1068,d,d
1069,z,z
1070,5,5
1071,甘,甘
1072,m,m
1073,央,央
1074,付,付
1075,e,e
1076,y,y
1077,山,山
1078,f,f
1079,巧,巧
1080,东,瓜
1081,g,g
1082,闪,闪
1083,处,处
1084,扔,扔
1085,打,打
1086,午,午
1087,w,w
1088,己,己
1089,3,3
1090,寸,寸
1091,3,3
1092,w,w
1093,z,z
1094,不,不
1095,z,z
1096,o,o
1097,切,切
1098,它,它
1099,无,无
1100,t,t
1101,孔,孔
1102,互,互
1103,月,月
1104,上,上
1105,d,d
1106,u,u
1107,i,i
1108,玉,玉
1109,口,口
1110,2,2
1111,瓜,瓜
1112,世,世
1113,凤,凤
1114,丁,丁
1115,目,目
1116,于,于
1117,今,今
1118,礼,礼
1119,千,千
1120,w,w
1121,鸟,鸟
1122,r,r
1123,f,f
1124,训,训
1125,6,6
1126,w,w
1127,l,l
1128,3,3
1129,o,o
1130,仙,仙
1131,j,j
1132,0,0
1133,s,s
1134,子,子
1135,o,o
1136,一,一
1137,子,子
1138,e,e
1139,6,6
1140,y,y
1141,尺,尺
1142,j,j
1143,g,g
1144,a,a
1145,u,u
1146,7,7
1147,夕,夕
1148,闪,闪
1149,丸,丸
1150,y,y
1151,不,不
1152,月,月
1153,田,田
1154,巧,巧
1155,分,分
1156,p,p
1157,j,j
1158,g,g
1159,末,末
1160,入,入
1161,k,k
1162,生,生
1163,匹,匹
1164,g,g
1165,v,v
1166,旧,旧
1167,x,x
1168,4,4
1169,穴,穴
1170,k,k
1171,w,w
1172,鸟,鸟
1173,外,外
1174,t,t
1175,九,九
1176,8,8
1177,支,支
1178,h,h
1179,m,m
1180,石,石
1181,平,平
1182,t,t
1183,a,a
1184,x,x
1185,示,示
1186,用,用
1187,4,4
1188,a,a
1189,毛,毛
1190,e,e
1191,丑,丑
1192,叨,叨
1193,方,方
1194,x,x
1195,汁,汁
1196,i,i
1197,万,万
1198,父,父
1199,3,3
1200,h,h
1201,专,专
1202,勾,勾
1203,p,p
1204,c,c
1205,8,8
1206,b,b
1207,g,g
1208,女,女
1209,k,k
1210,m,m
1211,0,0
1212,u,u
1213,1,1
1214,之,之
1215,从,从
1216,又,又
1217,正,正
1218,下,下
1219,1,1
1220,m,m
1221,本,本
1222,t,t
1223,木,木
1224,k,k
1225,y,y
1226,叶,叶
1227,本,本
1228,9,9
1229,冬,冬
1230,9,9
1231,t,t
1232,巨,巨
1233,忆,忆
1234,t,t
1235,k,k
1236,3,3
1237,s,s
1238,计,计
1239,互,互
1240,3,3
1241,务,务
1242,d,d
1243,j,j
1244,0,0
1245,e,e
1246,x,x
1247,w,w
1248,d,d
1249,办,办
1250,历,历
1251,1,1
1252,v,v
1253,8,8
1254,以,以
1255,g,g
1256,4,4
1257,n,n
1258,w,w
1259,c,c
1260,且,且
1261,h,h
1262,x,x
1263,九,九
1264,w,w
1265,r,r
1266,g,g
1267,兰,兰
1268,牙,牙
1269,q,q
1270,艺,艺
1271,忆,忆
1272,a,a
1273,开,开
1274,b,b
1275,1,1
1276,t,t
1277,内,内
1278,f,f
1279,包,包
1280,生,生
1281,7,7
1282,d,d
1283,本,本
1284,x,x
1285,士,土
1286,y,y
1287,史,史
1288,j,j
1289,3,3
1290,q,q
1291,讨,讨
1292,止,止
1293,2,2
1294,r,r
1295,仆,仆
1296,z,z
1297,左,左
1298,叨,叨
1299,f,f
1300,凤,凤
1301,古,古
1302,亏,亏
1303,凡,凡
1304,片,片
1305,6,6
1306,屯,屯
1307,切,切
1308,s,s
1309,a,a
1310,仪,仪
1311,p,p
1312,4,4
1313,幻,幻
1314,公,公
1315,y,y
1316,q,q
1317,丹,丹
1318,匹,匹
1319,r,r
1320,s,s
1321,g,g
1322,火,火
1323,r,r
1324,平,平
1325,k,k
1326,印,印
1327,t,t
1328,儿,儿
1329,u,u
1330,写,写
1331,下,下
1332,世,世
1333,仁,仁
1334,w,w
1335,d,d
1336,y,y
1337,d,d
1338,人,人
1339,g,g
1340,q,q
1341,m,m
1342,u,u
1343,田,田
1344,丘,丘
1345,方,方
1346,句,句
1347,也,也
1348,习,习
1349,2,2
1350,无,无
1351,g,g
1352,2,2
1353,0,0
1354,禾,禾
1355,5,5
1356,巧,广
1357,a,a
1358,示,示
1359,t,t
1360,b,b
1361,万,万
1362,丛,丛
1363,x,x
1364,夕,夕
1365,p,p
1366,y,y
1367,1,1
1368,归,归
1369,3,3
1370,6,6
1371,儿,儿
1372,让,让
1373,l,l
1374,l,l
1375,j,j
1376,切,切
1377,立,立
1378,书,书
1379,y,y
1380,巧,巧
1381,9,9
1382,厉,厉
1383,b,b
1384,p,p
1385,g,g
1386,王,王
1387,氏,氏
1388,归,归
1389,q,q
1390,a,a
1391,册,册
1392,乞,乞
1393,w,w
1394,代,代
1395,市,市
1396,y,y
1397,v,v
1398,支,支
1399,句,句
1400,兄,兄
1401,女,女
1402,子,子
1403,丛,丛
1404,o,o
1405,又,又
1406,上,上
1407,毛,毛
1408,m,m
1409,扑,扑
1410,o,o
1411,扎,扎
1412,u,u
1413,长,长
1414,叶,叶
1415,叶,叶
1416,b,b
1417,l,l
1418,个,个
1419,a,a
1420,0,0
1421,叮,叮
1422,9,9
1423,日,日
1424,友,友
1425,w,w
1426,5,5
1427,w,w
1428,3,3
1429,八,八
1430,8,8
1431,1,1
1432,x,x
1433,右,右
1434,办,办
1435,5,5
1436,令,令
1437,u,u
1438,4,4
1439,k,k
1440,氏,氏
1441,今,今
1442,匆,匆
1443,9,9
1444,万,万
1445,8,8
1446,三,三
1447,也,也
1448,4,4
1449,3,3
1450,击,击
1451,计,计
1452,8,8
1453,3,3
1454,丰,丰
1455,及,及
1456,5,5
1457,汇,汇
1458,央,央
1459,j,j
1460,d,d
1461,与,与
1462,水,水
1463,币,币
1464,办,办
1465,z,z
1466,q,q
1467,玉,玉
1468,乌,乌
1469,马,马
1470,叨,叨
1471,亡,亡
1472,甘,甘
1473,旧,旧
1474,y,y
1475,u,u
1476,付,付
1477,五,五
1478,山,山
1479,1,1
1480,1,1
1481,电,电
1482,未,未
1483,厅,厅
1484,仇,仇
1485,包,包
1486,训,训
1487,刃,刃
1488,0,0
1489,2,2
1490,去,去
1491,比,比
1492,毛,毛
1493,古,古
1494,儿,儿
1495,叉,叉
1496,q,q
1497,4,4
1498,j,j
1499,q,q
1500,8,8
1501,j,j
1502,乡,乡
1503,1,1
1504,正,正
1505,j,j
1506,r,r
1507,北,北
1508,口,口
1509,目,目
1510,风,风
1511,叶,叶
1512,乎,乎
1513,w,w
1514,5,5
1515,q,q
1516,又,又
1517,v,v
1518,丈,丈
1519,从,从
1520,g,g
1521,z,z
1522,h,h
1523,帅,帅
1524,专,专
1525,斤,斤
1526,k,k
1527,0,0
1528,见,见
1529,y,y
1530,8,8
1531,火,火
1532,少,少
1533,仓,仓
1534,t,t
1535,g,g
1536,h,h
1537,r,r
1538,订,订
1539,n,n
1540,水,水
1541,仪,仪
1542,比,比
1543,d,d
1544,牛,牛
1545,j,j
1546,e,e
1547,山,山
1548,风,风
1549,反,反
1550,l,l
1551,旧,旧
1552,户,户
1553,q,q
1554,卡,卡
1555,i,i
1556,允,允
1557,g,g
1558,0,0
1559,p,p
1560,勺,勺
1561,f,f
1562,认,认
1563,s,s
1564,r,r
1565,l,l
1566,z,z
1567,兄,兄
1568,二,二
1569,打,打
1570,2,2
1571,r,r
1572,业,业
1573,w,w
1574,x,x
1575,n,n
1576,仔,仔
1577,c,c
1578,石,石
1579,p,p
1580,弓,弓
1581,9,9
1582,r,r
1583,牛,牛
1584,j,j
1585,牛,牛
1586,1,1
1587,9,9
1588,卫,卫
1589,户,户
1590,m,m
1591,d,d
1592,1,1
1593,与,与
1594,午,午
1595,o,o
1596,占,占
1597,2,2
1598,氏,氏
1599,丸,丸
1600,s,s
1601,a,a
1602,q,q
1603,及,及
1604,又,又
1605,9,9
1606,又,又
1607,2,2
1608,汉,汉
1609,丰,丰
1610,大,大
1611,上,上
1612,s,s
1613,3,3
1614,h,h
1615,3,3
1616,饥,饥
1617,7,7
1618,饥,饥
1619,毛,毛
1620,元,元
1621,欠,欠
1622,占,占
1623,犯,犯
1624,7,7
1625,令,令
1626,让,让
1627,刀,刀
1628,九,九
1629,t,t
1630,h,h
1631,工,工
1632,9,9
1633,汇,汇
1634,2,2
1635,0,0
1636,c,c
1637,大,大
1638,f,f
1639,y,y
1640,令,令
1641,叮,叮
1642,1,1
1643,仔,仔
1644,归,归
1645,弓,弓
1646,4,4
1647,d,d
1648,1,1
1649,币,币
1650,占,占
1651,甲,甲
1652,以,以
1653,8,8
1654,q,q
1655,丈,丈
1656,r,r
1657,8,8
1658,匆,匆
1659,六,六
1660,0,0
1661,六,六
1662,兄,兄
1663,q,q
1664,6,6
1665,正,正
1666,o,o
1667,f,f
1668,寸,寸
1669,2,2
1670,h,h
1671,i,i
1672,k,k
1673,田,田
1674,亡,亡
1675,市,市
1676,d,d
1677,包,包
1678,四,贝
1679,d,d
1680,册,册
1681,r,r
1682,k,k
1683,宁,宁
1684,0,0
1685,m,m
1686,介,介
1687,扔,扔
1688,宁,宁
1689,p,p
1690,汇,汇
1691,才,才
1692,叮,叮
1693,x,x
1694,9,9
1695,二,二
1696,兰,兰
1697,v,v
1698,女,女
1699,9,9
1700,户,户
1701,人,人
1702,汁,汁
1703,五,五
1704,父,父
1705,九,九
1706,巨,巨
1707,千,千
1708,s,s
1709,0,0
1710,尸,尸
1711,1,1
1712,十,十
1713,水,水
1714,i,i
1715,f,f
1716,c,c
1717,a,a
1718,g,g
1719,水,水
1720,巧,巧
1721,灭,灭
1722,t,t
1723,日,日
1724,训,训
1725,乡,乡
1726,w,w
1727,让,让
1728,夫,夫
1729,仍,仍
1730,a,a
1731,归,白
1732,e,e
1733,9,9
1734,井,井
1735,e,e
1736,4,4
1737,2,2
1738,无,无
1739,d,d
1740,g,g
1741,务,务
1742,s,s
1743,从,从
1744,r,r
1745,士,士
1746,6,6
1747,7,7
1748,由,由
1749,斗,斗
1750,世,世
1751,弓,弓
1752,刀,刀
1753,少,少
1754,叼,叼
1755,p,p
1756,帅,帅
1757,0,0
1758,e,e
1759,b,b
1760,a,a
1761,3,3
1762,五,五
1763,牙,牙
1764,平,平
1765,用,用
1766,m,m
1767,0,0
1768,与,与
1769,1,1
1770,9,9
1771,丘,丘
1772,p,p
1773,2,2
1774,v,v
1775,h,h
1776,u,u
1777,以,以
1778,y,y
1779,令,令
1780,j,j
1781,万,万
1782,n,n
1783,l,l
1784,6,6
1785,升,升
1786,w,w
1787,包,包
1788,厉,厉
1789,m,m
1790,叮,叮
1791,q,q
1792,m,m
1793,凤,凤
1794,q,q
1795,无,无
1796,k,k
1797,且,丑
1798,火,火
1799,c,c
1800,火,火
1801,a,a
1802,d,d
1803,8,8
1804,巴,巴
1805,7,7
1806,h,h
1807,门,门
1808,弓,弓
1809,贝,贝
1810,w,w
1811,节,节
1812,1,1
1813,半,半
1814,饥,饥
1815,让,让
1816,9,9
1817,宁,宁
1818,m,m
1819,古,古
1820,e,e
1821,r,r
1822,册,册
1823,也,也
1824,3,3
1825,6,6
1826,a,a
1827,厉,厉
1828,扒,扒
1829,专,专
1830,日,日
1831,寸,寸
1832,了,了
1833,q,q
1834,击,击
1835,左,左
1836,p,p
1837,a,a
1838,l,l
1839,下,下
1840,h,h
1841,k,k
1842,n,n
1843,j,j
1844,f,f
1845,3,3
1846,甲,甲
1847,d,d
1848,g,g
1849,不,不
1850,凤,凤
1851,中,中
1852,不,不
1853,处,处
1854,丁,丁
1855,j,j
1856,c,c
1857,扔,扔
1858,8,8
1859,2,2
1860,轧,轧
1861,鸟,鸟
1862,2,2
1863,k,k
1864,文,文
1865,v,v
1866,布,布
1867,2,2
1868,w,w
1869,8,8
1870,六,六
1871,3,3
1872,2,2
1873,订,订
1874,午,午
1875,n,n
1876,m,m
1877,w,w
1878,下,下
1879,g,g
1880,丛,丛
1881,仆,仆
1882,2,2
1883,9,9
1884,m,m
1885,6,6
1886,k,k
1887,十,十
1888,a,a
1889,八,八
1890,l,l
1891,亿,亿
1892,4,4
1893,2,2
1894,7,7
1895,x,x
1896,劝,劝
1897,h,h
1898,礼,礼
1899,升,升
1900,心,心
1901,k,k
1902,友,友
1903,m,m
1904,冬,冬
1905,d,d
1906,4,4
1907,q,q
1908,引,引
1909,9,9
1910,斥,斥
1911,b,8
1912,币,币
1913,川,川
1914,7,7
1915,心,心
1916,东,东
1917,灭,灭
1918,专,专
1919,e,e
1920,o,o
1921,8,8
1922,y,y
1923,v,v
1924,z,z
1925,w,w
1926,v,v
1927,士,士
1928,见,见
1929,w,w
1930,2,2
1931,i,i
1932,玉,玉
1933,且,且
1934,可,可
1935,u,u
1936,9,9
1937,木,木
1938,f,f
1939,八,八
1940,t,t
1941,f,f
1942,c,c
1943,f,f
1944,b,b
1945,及,及
1946,r,r
1947,a,a
1948,1,1
1949,e,e
1950,斥,斥
1951,田,田
1952,i,i
1953,s,s
1954,9,9
1955,n,n
1956,4,4
1957,未,未
1958,也,也
1959,3,3
1960,幻,幻
1961,9,9
1962,7,7
1963,z,z
1964,3,3
1965,o,o
1966,夕,夕
1967,a,a
1968,已,已
1969,e,e
1970,专,专
1971,扔,扔
1972,p,p
1973,三,三
1974,册,册
1975,h,h
1976,斗,斗
1977,卜,卜
1978,入,入
1979,o,o
1980,9,9
1981,u,u
1982,饥,饥
1983,q,q
1984,号,号
1985,c,c
1986,w,w
1987,g,g
1988,乎,乎
1989,c,c
1990,b,b
1991,w,w
1992,g,g
1993,厉,厉
1994,勺,勺
1995,厂,厂
1996,w,w
1997,x,x
1998,9,9
1999,孔,孔
2000,从,从
2001,p,p
2002,h,h
2003,x,x
2004,川,川
2005,犬,犬
2006,u,u
2007,1,1
2008,5,5
2009,云,云
2010,p,p
2011,l,l
2012,c,c
2013,幻,幻
2014,大,大
2015,帅,帅
2016,北,北
2017,亿,亿
